i,5808.305
 ,6213.745
s,6703.005000000001
t,7348.01
o,7906.205000000001
l,8399.73
e,8922.445000000002
 ,10044.390000000001
t,10940.59
h,11480.315
i,11978.87
s,12483.410000000002
Shift,13106.060000000001
:,13359.86
 ,14565.585000000001
t,15424.325
h,15864.890000000001
i,16324.085000000001
s,16776.010000000002
 ,17335.39
i,17886.180000000004
s,18399.170000000002
 ,18836.835
a,19449.385000000002
 ,19901.815000000002
s,20477.445000000003
i,20929.070000000003
m,21401.27
p,21828.79
l,22392.08
e,22842.875000000004
 ,23332.310000000005
p,23957.920000000002
a,24368.04
r,24830.33
a,25247.4
g,25662.32
r,26103.640000000003
a,26525.56
p,26976.640000000003
h,27425.105000000003
 ,27796.925000000003
t,28239.140000000003
h,29159.005000000005
a,29568.935000000005
t,29949.880000000005
 ,30488.720000000005
i,30950.695000000003
s,31345.68
 ,31890.085000000003
m,32705.450000000004
e,33096.805
a,33705.7
n,34193.05
t,34603.25
 ,35018.955
t,35547.905
o,36054.18
 ,36537.945
b,37116.01
e,37499.62
 ,38085.350000000006
n,38518.54
i,39059.915
c,39417.47
e,39772.130000000005
 ,40204.76
a,40626.68
n,40952.15
d,41395.97000000001
 ,41793.55500000001
e,42211.87
a,42650.565
s,42930.840000000004
y,43346.685
 ,43636.035
t,44011.3
o,44459.925
 ,44922.240000000005
t,45327.68
y,45705.39
p,46055.935000000005
e,46468.87500000001
 ,47012.44
a,47565.26
b,48235.54000000001
c,48906.73500000001
d,49429.3
e,49857.125
f,50423.240000000005
g,50964.11000000001
h,51421.305
i,51834.340000000004
j,52291.30000000001
k,52766.490000000005
l,53183.490000000005
m,53636.365000000005
n,54088.17500000001
o,54537.34000000001
p,54953.135
q,55490
r,55942.89000000001
s,56332.435000000005
t,56776.200000000004
u,57554.855
v,57979.8
w,58424.61
x,58806.79000000001
y,59259.66500000001
z,59621.33000000001